region,count
CA,6841
Alaska,5413
Texas,974
New Mexico,701
Nevada,595
Washington,544
Montana,480
Oklahoma,463
Puerto Rico,440
Idaho,391
Unknown,389
Utah,332
Hawaii,270
Japan,177
California,164
Indonesia,158
Oregon,125
Papua New Guinea,115
Tonga,81
Philippines,75
Argentina,71
Chile,70
Dominican Republic,69
Canada,65
Russia,56
MX,52
Wyoming,48
U.S. Virgin Islands,44
Vanuatu,42
Timor Leste,36
Peru,36
Greece,32
Mexico,31
China,28
Afghanistan,27
New Zealand,27
Fiji,26
Northern Mariana Islands,26
India,25
Missouri,24
Japan region,22
Colombia,22
Solomon Islands,22
Tennessee,22
Iran,18
Colorado,17
Guam,17
Burma (Myanmar),17
Taiwan,15
Turkey,14
Arizona,13
El Salvador,12
Bolivia,12
Tajikistan,11
Guatemala,11
Ecuador,11
Arkansas,9
Iceland,9
Pakistan,9
Nicaragua,7
Maine,7
Kansas,7
Kyrgyzstan,6
Tanzania,6
Costa Rica,6
Nepal,5
India region,5
New Jersey,5
Greenland,4
New Caledonia,4
Wallis and Futuna,4
Anguilla,4
Venezuela,3
Portugal,3
Italy,3
Panama,3
Ohio,3
Honduras,3
Poland,3
New Hampshire,3
Yemen,3
Micronesia,2
Chad,2
Australia,2
Romania,2
Connecticut,2
Kazakhstan,2
Mauritius,2
Svalbard and Jan Mayen,2
Somalia,2
North Carolina,2
Bosnia and Herzegovina,2
NV,2
Oman,2
Albania,2
Saint Helena,1
Democratic Republic of the Congo,1
Mongolia,1
Vietnam,1
Turkmenistan,1
Illinois,1
Vermont,1
Georgia,1
Kentucky,1
Libya,1
Virginia,1
Samoa,1
France,1
Cyprus,1
Martinique,1
South Carolina,1
Montenegro,1
Nebraska,1
Morocco,1
Alabama,1
Grenada,1
Federated States of Micronesia,1
Pennsylvania,1
New York,1
South Dakota,1
Saint Kitts and Nevis,1
Trinidad and Tobago,1
Thailand,1
Uganda,1
